@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Atomic unit of time; time; au; ; ; ; http://conversion.org/time/atomic-unit-of-time/; a0/(α·c); <b>Atomic unit of time</b> is  <i>time</i> unit, symbol: [au]. Definition of 1 atomic unit of time ≡ a0/(α·c). This is the smallest meaningful time unit under which an electron takes a circle on the first Bohr pitch divided by 2π..
Blink; time; blink; ; ; ; http://conversion.org/time/blink/; 0.25 s; <b>Blink</b> is  <i>time</i> unit. Definition of 1 blink ≡ 0.25 s. Human blink duration ranges from 0.1 to 0.4 seconds. Blink time is calculated as average of this range, and this value is a quarter of a second..
Callippic cycle; time; callippic cycle; ; ; ; http://conversion.org/time/callippic-cycle/; 76 years (Julian); <b>Callippic cycle</b> is  <i>time</i> unit. Definition of 1 Callippic cycle ≡ 76 years (Julian). One callippic cycle is equal to 441 mo (hollow) + 499 mo (full) ≡ 76 a of 365.25 d ≡ 2.3983776 Gs.
Century; time; c; ; ; ; http://conversion.org/time/century/; 100 years (Gregorian); <b>Century</b> is  <i>time</i> unit, symbol: [c]. Definition of 1 century ≡ 100 years (Gregorian). ≡ 365.2425 × 100 × 86400 seconds.
Day; time; d; ; ; ; http://conversion.org/time/day/; 24 h = 1440 min; <b>Day</b> is  <i>time</i> unit, symbol: [d]. Definition of 1 day ≡ 24 h ≡ 1440 min. One day (solar day) is period of time from noon to noon ≡ 24 hours. A solar day is the time it takes for the Earth to rotate about its axis so that the Sun appears in the same position in the sky. 24 [h] × 3600 [s] ≡ 86.4 [ks] ≡ 86400 [s].
Day (sidereal); time; d (sidereal); ; sidereal; Day; http://conversion.org/time/day-sidereal/; 23 h, 56 min, 4.0916 sec; <b>Day (sidereal)</b> is  <i>time</i> unit, symbol: [d (sidereal)]. Definition of 1 day (sidereal) ≡  23 h, 56 min, 4.0916 sec. A sidereal day is the time needed for the Earth to rotate once around its axis so that the distant stars appear in the same position in the sky. This is ~4 minutes shorter than the solar day..
Decade; time; dec; ; ; ; http://conversion.org/time/decade/; 10 years (Gregorian); <b>Decade</b> is  <i>time</i> unit, symbol: [dec]. Definition of 1 decade ≡ 10 years (Gregorian). ≡ 365.2425 × 10 × 86400 seconds.
Fortnight; time; fn; ; ; ; http://conversion.org/time/fortnight/; 2 wk; <b>Fortnight</b> is  <i>time</i> unit, symbol: [fn]. Definition of 1 fortnight ≡ 2 wk. A fortnight is a unit of time equal to 14 days (2 weeks) ≡ fourteen nights.
Gigaseconds; time; Gs; ; ; ; http://conversion.org/time/gigaseconds/; 1e9 s; <b>Gigaseconds</b> is  <i>time</i> unit, symbol: [Gs]. Definition of 1 gigaseconds ≡ 10^9 s. one billion seconds.
Helek; time; helek; ; ; ; http://conversion.org/time/helek/; 1⁄1080 h; <b>Helek</b> is Hebrew <i>time</i> unit. Definition of 1 helek ≡  1⁄1080 h. The helek (or chelek) is a unit of time used in the calculation of the Hebrew calendar. 3600 s / 1080.
Hipparchic cycle; time; hipparchic cycle; ; ; ; http://conversion.org/time/hipparchic-cycle/; 4 Callippic cycles - 1 d; <b>Hipparchic cycle</b> is  <i>time</i> unit. Definition of 1 Hipparchic cycle ≡ 4 Callippic cycles - 1 d. A lunar cycle noticed by Hipparchus. Eric Weisstein's World of Biography It consists of four Callipic cycles less a day, in which (4 × 27759 - 1) days are very nearly 3760 months, ≡ 9.593424 Gs.
Hour; time; h; ; ; ; http://conversion.org/time/hour/; 60 min; <b>Hour</b> is  <i>time</i> unit, symbol: [h]. Definition of 1 hour ≡ 60 min. One hour is a time required for minute hand on analog clock to create a circle ≡ 3.6 ks.
Jiffy; time; j; ; ; ; http://conversion.org/time/jiffy/; 1⁄60 s; <b>Jiffy</b> is  <i>time</i> unit, symbol: [j]. Definition of 1 jiffy ≡  1⁄60 s. Jiffy is an informal term for any unspecified short period of time. Common 1/60 s (alternative 1/100 s).
Ke; time; ke; ; ; ; http://conversion.org/time/ke/; 1⁄100 d = 14.4 min; <b>Ke</b> is Chinese <i>time</i> unit. Definition of 1 ke ≡  1⁄100 d ≡ 14.4 min. Traditional <b>ke</b> is unit of time in the traditional time system in ancient China. ≡ 14.4 min ≡ 14 min, 24 sec ≡ 864 s.
Kiloseconds; time; ks; ; ; ; http://conversion.org/time/kiloseconds/; 1e3 s; <b>Kiloseconds</b> is  <i>time</i> unit, symbol: [ks]. Definition of 1 kiloseconds ≡ 10^3 s. a thousand times of a second.
Lustre; time; lustre; ; ; ; http://conversion.org/time/lustre-lustrum/; 5 years (of 365 d); "<b>Lustre; lustrum</b> is  <i>time</i> unit. Definition of 1 lustre; lustrum ≡ 5 years (of 365 d). A lustre is a period of five years. Its use dates back to Ancient Rome, when a lustrum was a five-year period at the end of which a full census of the Roman population would be carried out. ≡ 5*365*86400 ≡ 157.68 Ms."
lustrum; time; lustrum; ; ; ; http://conversion.org/time/lustre-lustrum/; 5 years (of 365 d); "<b>Lustre; lustrum</b> is  <i>time</i> unit. Definition of 1 lustre; lustrum ≡ 5 years (of 365 d). A lustre is a period of five years. Its use dates back to Ancient Rome, when a lustrum was a five-year period at the end of which a full census of the Roman population would be carried out. ≡ 5*365*86400 ≡ 157.68 Ms."
Megaseconds; time; Ms; ; ; ; http://conversion.org/time/megaseconds/; 1e6 s; <b>Megaseconds</b> is  <i>time</i> unit, symbol: [Ms]. Definition of 1 megaseconds ≡ 10^6 s. one million seconds.
Metonic cycle; time; metonic cycle; ; ; ; http://conversion.org/time/metonic-cycle-enneadecaeteris/; 6940 d; "<b>Metonic cycle; enneadecaeteris</b> is  <i>time</i> unit. Definition of 1 Metonic cycle; enneadecaeteris ≡ 6940 d. For astronomy and calendar studies, the Metonic cycle or Enneadecaeteris is a period of very close to 19 years that is nearly a common multiple of the solar year and the synodic month. ≡ 110 mo (hollow) + 125 mo (full) ≡ 6940 d ≡ 19 a ≡ 599.616 Ms."
enneadecaeteris; time; enneadecaeteris; ; ; ; http://conversion.org/time/metonic-cycle-enneadecaeteris/; 6940 d; "<b>Metonic cycle; enneadecaeteris</b> is  <i>time</i> unit. Definition of 1 Metonic cycle; enneadecaeteris ≡ 6940 d. For astronomy and calendar studies, the Metonic cycle or Enneadecaeteris is a period of very close to 19 years that is nearly a common multiple of the solar year and the synodic month. ≡ 110 mo (hollow) + 125 mo (full) ≡ 6940 d ≡ 19 a ≡ 599.616 Ms."
Microsecond; time; µs; ; ; ; http://conversion.org/time/microsecond/; 1e-6 s; <b>Microsecond</b> is  <i>time</i> unit, symbol: [µs]. Definition of 1 microsecond ≡ 10^-6 s. millionth part of a second.
Millennium; time; millennium; ; ; ; http://conversion.org/time/millennium/; 1000 years (Gregorian); <b>Millennium</b> is  <i>time</i> unit. Definition of 1 millennium ≡ 1000 years (Gregorian). A thousand Gregorian years ≡ 365.2425 × 1000 × 86400 s ≡ 31.556952 Gs.
Milliday; time; md; ; ; ; http://conversion.org/time/milliday/; 1⁄1000 d; <b>Milliday</b> is  <i>time</i> unit, symbol: [md]. Definition of 1 milliday ≡  1⁄1000 d. One thousandth of a day ≡ 86400/1000.
Millisecond; time; ms; ; ; ; http://conversion.org/time/millisecond/; 0.001 s; <b>Millisecond</b> is  <i>time</i> unit, symbol: [ms]. Definition of 1 millisecond ≡ 0.001 s. thousandth of second.
Minute; time; min; ; ; ; http://conversion.org/time/minute/; 60 s; <b>Minute</b> is  <i>time</i> unit, symbol: [min]. Definition of 1 minute ≡ 60 s. One minute is a time equal to rotation time of sweep (or second) hand at analog clock ≡ 60 s.
Moment; time; moment; ; ; ; http://conversion.org/time/moment/; 90 s; <b>Moment</b> is  <i>time</i> unit. Definition of 1 moment ≡ 90 s. Time unit used in the Middle Ages. 1 hour on sundial was divided into 40 parts ≡ moments. 3600/40 ≡ 90 s.
Month (full); time; mo; ; full; Month; http://conversion.org/time/month-full/; 30 d; <b>Month (full)</b> is  <i>time</i> unit, symbol: [mo]. Definition of 1 month (full) ≡ 30 d. Full month ≡ 30 days × 86400 sec..
Month (Gregorian average); time; mo; ; Gregorian average; Month; http://conversion.org/time/month-gregorian-average/; 30.436875 d; <b>Month (Gregorian average)</b> is  <i>time</i> unit, symbol: [mo]. Definition of 1 month (Gregorian average) ≡ 30.436875 d. Average Gregorian month is calculated from average Gregorian Year divided by 12 month: 365.2425 days / 12 months × 86400 sec ≡ 2.6297 Ms.
Month (hollow); time; mo; ; hollow; Month; http://conversion.org/time/month-hollow/; 29 d; <b>Month (hollow)</b> is  <i>time</i> unit, symbol: [mo]. Definition of 1 month (hollow) ≡ 29 d. Hollow month ≡ 29 days × 86400 sec..
Month (sidereal); time; month (sidereal); ; sidereal; Month; http://conversion.org/time/month-sidereal/; 27.321661 days; "<b>Month (sidereal)</b> is  <i>time</i> unit. Definition of 1 month (sidereal) ≡ 27.321661 days. It is the time it takes the Moon to go around Earth measured from a fixed point. Sideric month is not completely constant, an average value has been used for calculating. ."
Month (synodic); time; mo; ; synodic; Month; http://conversion.org/time/month-synodic/; 29.530589 days; <b>Month (synodic)</b> is  <i>time</i> unit, symbol: [mo]. Definition of 1 month (synodic) ≡ 29.530589 days. Synodic month ≡ Cycle time of moon phases (example, from fool moon to next fool moon). This period is not constant and it is longer than moon rotation around Earth (sidereal month), because moon and Earth moves together around the Sun..
Nanoseconds; time; ns; ; ; ; http://conversion.org/time/nanoseconds/; 1e-9 s; <b>Nanoseconds</b> is  <i>time</i> unit, symbol: [ns]. Definition of 1 nanoseconds ≡ 10^-9 s. billionth part or a second.
Octaeteris; time; octaeteris; ; ; ; http://conversion.org/time/octaeteris/; 2922 d; <b>Octaeteris</b> is  <i>time</i> unit. Definition of 1 octaeteris ≡ 2922 d. In astronomy, an octaeteris is the period of eight solar years after which the moon phase occurs on the same day of the year plus one or two days. ≡ 48 mo (full) + 48 mo (hollow) + 3 mo (full) ≡ 8 a of 365.25 d ≡ 2922 d ≡ 252.4608 Ms.
Planck time; time; planck time; ; ; ; http://conversion.org/time/planck-time/; ( Gℏ⁄c5) 1⁄2; <b>Planck time</b> is  <i>time</i> unit. Definition of 1 Planck time ≡ ( Gℏ⁄c5) 1⁄2. It is the time required for light to travel in a vacuum a distance of 1 Planck length, approximately 5.39 × 10^-44 s..
Second; time; s; ; metric; ; http://conversion.org/time/second/; 1 s; <b>Second</b> is metric <i>time</i> unit, symbol: [s]. Definition of 1 second ≡ 1 s. SI base unit. The second is the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium 133 atom at 0 K temperature..
Shake; time; shake; ; ; ; http://conversion.org/time/shake/; 1e-8 s; <b>Shake</b> is  <i>time</i> unit. Definition of 1 shake ≡ 10^-8 s. A shake is an informal unit of time equal to 10 nanoseconds (ns), or 10^-8 seconds. It has applications in nuclear physics, helping to conveniently express the timing of various events in a nuclear explosion..
Sigma; time; sigma; ; ; ; http://conversion.org/time/sigma/; 1e-6 s; <b>Sigma</b> is  <i>time</i> unit. Definition of 1 sigma ≡ 10^-6 s. Unit of time equal to one microsecond (1 μs) or 10^-6 seconds..
Sothic cycle; time; sothic cycle; ; ; ; http://conversion.org/time/sothic-cycle/; 1461 a of 365 d; <b>Sothic cycle</b> is  <i>time</i> unit. Definition of 1 Sothic cycle ≡ 1461 a of 365 d. The Sothic cycle or Canicular period is a period of 1,461 Egyptian civil years of 365 days each or 1,460 Julian years (365.25 days each) ≡ 1461×365×86400 [s] ≡ 46.074096 [Gs].
Svedberg; time; S; ; ; ; http://conversion.org/time/svedberg/; 1e-13 s; "<b>Svedberg</b> is  <i>time</i> unit, symbol: [S]. Definition of 1 svedberg ≡ 10^-13 s. The svedberg is actually a measure of time; it is defined as exactly 10^-13 seconds (100 fs). It is often used to reflect the rate at which a molecule travels to the bottom of a test tube under the centrifugal force of a centrifuge.."
Teraseconds; time; Ts; ; ; ; http://conversion.org/time/teraseconds/; 1e12 s; <b>Teraseconds</b> is  <i>time</i> unit, symbol: [Ts]. Definition of 1 teraseconds ≡ 10^12 s. a trillion-seconds.
Week; time; wk; ; ; ; http://conversion.org/time/week/; . Week is a period of seven consecutive days (calendar week usually; <b>Week</b> is  <i>time</i> unit, symbol: [wk]. Definition of 1 week ≡ 7 d ≡ 168 h ≡ 10080 min. Week is a period of seven consecutive days (calendar week usually starts on Sunday in North America or Monday in Europe). One week consists seven days or 168 hours..
Year (common); time; a,y,or yr; ; common; Year; http://conversion.org/time/year-common/; 365 d; <b>Year (common)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (common) 365 d. The year commonly has 365 days (except the leap year).
Year (Gregorian); time; a,y,or yr; ; Gregorian; Year; http://conversion.org/time/year-gregorian/; 365.2425 d average; <b>Year (Gregorian)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (Gregorian) ≡ 365.2425 d average. As the common year has 365 days, the Gregorian calendar with leap years compensate the deviation from the real, astronomical year. According to this calendar, every 4th year is a leap year, except for every 100th. But every 400th is a leap year. This means that there are 97 leap years in 400 year period. So according to Gregorian's calendar, one year has 365 + 97/400 days (average). This is not a perfect approach, but in 1000 year period, the defiation is only 0.3 days compared to the astronomical year. In the year 1582 Gregorian replaced the Julian calendar..
Year (Julian); time; a,y,or yr; ; Julian; Year; http://conversion.org/time/year-julian/; 365.25 d average; <b>Year (Julian)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (Julian) ≡ 365.25 d average. The basic calendar year has 365 days, but in fact the Earth needs a little more time around the sun. The Julian calendar compensated this with leap year (every fourth year had 366 days). According to the formula, a Julian year has 365 + 1/4 ≡ 365.25 days. But even with this compensation, the astronomical year slip 0.78 days every 100 years into real seasons. Therefore, most countries have moved to the Gregorian calendar introduced in 1582..
Year (leap); time; a,y,or yr; ; leap; Year; http://conversion.org/time/year-leap/; 366 d; <b>Year (leap)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (leap) ≡ 366 d. Leap year has 366 days. The role of leap year is to compensate difference from astronomical- and common calendar year..
Year (mean tropical); time; a,y,or yr; ; mean tropical; Year; http://conversion.org/time/year-mean-tropical/; 365.242190402 d; <b>Year (mean tropical)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (mean tropical) ≡ 365.242190402 d. Tropical year is the length of time it takes for the Sun to return to the same position in the cycle of seasons, approximately 365.24219 days.
Year (sidereal); time; a,y,or yr; ; sidereal; Year; http://conversion.org/time/year-sidereal/; 365.256363004 d; <b>Year (sidereal)</b> is  <i>time</i> unit, symbol: [a, y, or yr]. Definition of 1 year (sidereal) ≡ 365.256363004 d. Sidereal year is a time taken for Sun to return to the same position with respect to the stars of the celestial sphere, approximately 365.256363 days..
